,surname,años_actividad,puntos_totales,puntos_promedio
0,Schumacher,22,1907.0,3.5845864661654137
1,Alonso,21,2329.0,5.764851485148514
2,Räikkönen,19,1873.0,5.3210227272727275
3,Barrichello,19,658.0,2.01840490797546
4,Button,18,1235.0,3.9967637540453076
5,Verstappen,18,2929.5,9.270569620253164
6,Hamilton,18,4820.5,13.540730337078651
7,Vettel,16,3098.0,10.326666666666666
8,Coulthard,15,535.0,2.165991902834008
9,Massa,15,1167.0,4.306273062730627
10,Trulli,15,246.5,0.962890625
11,Pérez,14,1585.0,5.6007067137809186
12,Ricciardo,14,1320.0,5.136186770428016
13,Fisichella,14,275.0,1.1904761904761905
14,Hülkenberg,13,563.0,2.4478260869565216
15,Magnussen,13,197.0,0.933649289099526
16,Alesi,12,233.0,1.2010309278350515
17,Bottas,12,1788.0,7.238866396761134
18,Webber,12,1047.5,4.8271889400921655
19,Heidfeld,12,259.0,1.4076086956521738
20,Rosberg,11,1594.5,7.740291262135922
21,Villeneuve,11,235.0,1.4242424242424243
22,Häkkinen,11,420.0,2.5454545454545454
23,Frentzen,10,174.0,1.0943396226415094
24,Grosjean,10,391.0,2.160220994475138
25,Sainz,10,1203.5,5.7860576923076925
26,Irvine,10,191.0,1.2993197278911566
27,Gasly,8,426.0,2.7662337662337664
28,Stroll,8,286.0,1.7023809523809523
29,Hill,8,360.0,2.9508196721311477
30,Berger,8,267.0,2.1023622047244093
31,Ocon,8,440.0,2.8205128205128207
32,Senna,8,330.0,2.920353982300885
33,Kovalainen,7,105.0,0.9375
34,Kubica,7,274.0,2.7676767676767677
35,Leclerc,7,1363.0,9.14765100671141
36,Sutil,7,124.0,0.96875
37,Russell,6,664.0,5.1875
38,Kvyat,6,202.0,1.8035714285714286
39,Norris,6,950.0,7.421875
40,Pablo Montoya,6,307.0,3.231578947368421
41,Albon,5,238.0,2.2666666666666666
42,Kobayashi,5,125.0,1.644736842105263
43,Mansell,5,230.0,4.2592592592592595
44,Patrese,4,152.0,2.375
45,di Resta,4,121.0,2.0508474576271185
46,Prost,3,206.0,4.382978723404255
47,Piastri,2,347.0,7.543478260869565
