year,name,grid,positionOrder,points,position_change
2008,Australian Grand Prix,6,15,0.0,9
2008,Malaysian Grand Prix,3,4,5.0,1
2008,Bahrain Grand Prix,7,6,3.0,-1
2008,Spanish Grand Prix,8,8,1.0,0
2008,Turkish Grand Prix,8,10,0.0,2
2008,Monaco Grand Prix,8,13,0.0,5
2008,Canadian Grand Prix,14,6,3.0,-8
2008,French Grand Prix,4,3,6.0,-1
2008,British Grand Prix,14,7,2.0,-7
2008,German Grand Prix,4,9,0.0,5
2008,Hungarian Grand Prix,9,7,2.0,-2
2008,European Grand Prix,7,5,4.0,-2
2008,Belgian Grand Prix,11,16,0.0,5
2008,Italian Grand Prix,7,13,0.0,6
2008,Singapore Grand Prix,11,16,0.0,5
2008,Japanese Grand Prix,7,5,4.0,-2
2008,Chinese Grand Prix,7,20,0.0,13
2008,Brazilian Grand Prix,2,8,1.0,6
2007,Australian Grand Prix,8,9,0.0,1
2007,Malaysian Grand Prix,8,7,2.0,-1
2007,Bahrain Grand Prix,9,7,2.0,-2
2007,Spanish Grand Prix,6,20,0.0,14
2007,Monaco Grand Prix,14,15,0.0,1
2007,Canadian Grand Prix,10,13,0.0,3
2007,United States Grand Prix,8,6,3.0,-2
2007,French Grand Prix,8,21,0.0,13
2007,British Grand Prix,10,17,0.0,7
2007,European Grand Prix,8,13,0.0,5
2007,Hungarian Grand Prix,8,10,0.0,2
2007,Turkish Grand Prix,9,16,0.0,7
2007,Italian Grand Prix,9,11,0.0,2
2007,Belgian Grand Prix,8,11,0.0,3
2007,Japanese Grand Prix,13,13,0.0,0
2007,Chinese Grand Prix,12,13,0.0,1
2007,Brazilian Grand Prix,8,8,1.0,0
2006,Bahrain Grand Prix,14,16,0.0,2
2006,Malaysian Grand Prix,9,9,0.0,0
2006,Australian Grand Prix,9,20,0.0,11
2006,San Marino Grand Prix,9,21,0.0,12
2006,European Grand Prix,7,9,0.0,2
2006,Spanish Grand Prix,7,10,0.0,3
2006,Monaco Grand Prix,6,17,0.0,11
2006,British Grand Prix,22,11,0.0,-11
2006,Canadian Grand Prix,4,6,3.0,2
2006,United States Grand Prix,22,4,5.0,-18
2006,French Grand Prix,4,19,0.0,15
2006,German Grand Prix,20,7,2.0,-13
2006,Hungarian Grand Prix,8,12,0.0,4
2006,Turkish Grand Prix,12,9,0.0,-3
2006,Italian Grand Prix,11,7,2.0,-4
2006,Chinese Grand Prix,17,19,0.0,2
2006,Japanese Grand Prix,4,6,3.0,2
2006,Brazilian Grand Prix,3,19,0.0,16
2005,Australian Grand Prix,2,9,0.0,7
2005,Malaysian Grand Prix,2,2,8.0,0
2005,Bahrain Grand Prix,3,2,8.0,-1
2005,San Marino Grand Prix,5,5,4.0,0
2005,Spanish Grand Prix,5,3,6.0,-2
2005,Monaco Grand Prix,5,10,0.0,5
2005,European Grand Prix,4,8,1.0,4
2005,Canadian Grand Prix,9,12,0.0,3
2005,United States Grand Prix,1,7,0.0,6
2005,French Grand Prix,2,5,4.0,3
2005,British Grand Prix,4,9,0.0,5
2005,German Grand Prix,9,14,0.0,5
2005,Hungarian Grand Prix,3,4,5.0,1
2005,Turkish Grand Prix,5,6,3.0,1
2005,Italian Grand Prix,5,5,4.0,0
2005,Belgian Grand Prix,3,16,0.0,13
2005,Brazilian Grand Prix,17,13,0.0,-4
2005,Japanese Grand Prix,19,18,0.0,-1
2005,Chinese Grand Prix,12,15,0.0,3
2004,Australian Grand Prix,9,7,2.0,-2
2004,Malaysian Grand Prix,8,5,4.0,-3
2004,Bahrain Grand Prix,7,4,5.0,-3
2004,San Marino Grand Prix,9,5,4.0,-4
2004,Spanish Grand Prix,4,3,6.0,-1
2004,Monaco Grand Prix,1,1,10.0,0
2004,European Grand Prix,3,4,5.0,1
2004,Canadian Grand Prix,3,16,0.0,13
2004,United States Grand Prix,20,4,5.0,-16
2004,French Grand Prix,5,4,5.0,-1
2004,British Grand Prix,5,18,0.0,13
2004,German Grand Prix,6,11,0.0,5
2004,Hungarian Grand Prix,9,17,0.0,8
2004,Belgian Grand Prix,1,9,0.0,8
2004,Italian Grand Prix,9,10,0.0,1
2004,Japanese Grand Prix,6,11,0.0,5
2004,Brazilian Grand Prix,9,12,0.0,3
2003,Australian Grand Prix,12,5,4.0,-7
2003,Malaysian Grand Prix,2,5,4.0,3
2003,Brazilian Grand Prix,5,8,1.0,3
2003,San Marino Grand Prix,16,13,0.0,-3
2003,Spanish Grand Prix,4,18,0.0,14
2003,Austrian Grand Prix,6,8,1.0,2
2003,Monaco Grand Prix,4,6,3.0,2
2003,Canadian Grand Prix,8,16,0.0,8
2003,European Grand Prix,6,18,0.0,12
2003,French Grand Prix,6,17,0.0,11
2003,British Grand Prix,2,6,3.0,4
2003,German Grand Prix,4,3,6.0,-1
2003,Hungarian Grand Prix,6,7,2.0,1
2003,Italian Grand Prix,6,20,0.0,14
2003,United States Grand Prix,10,4,5.0,-6
2003,Japanese Grand Prix,20,5,4.0,-15
2002,Australian Grand Prix,7,14,0.0,7
2002,Malaysian Grand Prix,12,22,0.0,10
2002,Brazilian Grand Prix,6,15,0.0,9
2002,San Marino Grand Prix,8,9,0.0,1
2002,Spanish Grand Prix,9,10,0.0,1
2002,Austrian Grand Prix,16,13,0.0,-3
2002,Monaco Grand Prix,7,4,3.0,-3
2002,Canadian Grand Prix,10,6,1.0,-4
2002,European Grand Prix,7,8,0.0,1
2002,British Grand Prix,7,15,0.0,8
2002,French Grand Prix,8,13,0.0,5
2002,German Grand Prix,8,15,0.0,7
2002,Hungarian Grand Prix,6,8,0.0,2
2002,Belgian Grand Prix,7,17,0.0,10
2002,Italian Grand Prix,11,4,3.0,-7
2002,United States Grand Prix,8,5,2.0,-3
2002,Japanese Grand Prix,11,14,0.0,3
2001,Australian Grand Prix,7,16,0.0,9
2001,Malaysian Grand Prix,5,8,0.0,3
2001,Brazilian Grand Prix,7,5,2.0,-2
2001,San Marino Grand Prix,5,5,2.0,0
2001,Spanish Grand Prix,6,4,3.0,-2
2001,Austrian Grand Prix,5,18,0.0,13
2001,Monaco Grand Prix,8,16,0.0,8
2001,Canadian Grand Prix,4,11,0.0,7
2001,European Grand Prix,7,19,0.0,12
2001,French Grand Prix,5,5,2.0,0
2001,British Grand Prix,4,20,0.0,16
2001,German Grand Prix,10,11,0.0,1
2001,Hungarian Grand Prix,5,17,0.0,12
2001,Belgian Grand Prix,16,14,0.0,-2
2001,Italian Grand Prix,5,22,0.0,17
2001,United States Grand Prix,8,4,3.0,-4
2001,Japanese Grand Prix,8,8,0.0,0
2000,Australian Grand Prix,6,15,0.0,9
2000,Brazilian Grand Prix,12,4,3.0,-8
2000,San Marino Grand Prix,8,15,0.0,7
2000,British Grand Prix,11,6,1.0,-5
2000,Spanish Grand Prix,7,12,0.0,5
2000,European Grand Prix,6,21,0.0,15
2000,Monaco Grand Prix,2,15,0.0,13
2000,Canadian Grand Prix,7,6,1.0,-1
2000,French Grand Prix,9,6,1.0,-3
2000,Austrian Grand Prix,5,21,0.0,16
2000,German Grand Prix,6,9,0.0,3
2000,Hungarian Grand Prix,12,7,0.0,-5
2000,Belgian Grand Prix,2,22,0.0,20
2000,Italian Grand Prix,6,19,0.0,13
2000,United States Grand Prix,5,22,0.0,17
2000,Japanese Grand Prix,15,13,0.0,-2
2000,Malaysian Grand Prix,9,12,0.0,3
1999,Australian Grand Prix,12,14,0.0,2
1999,Brazilian Grand Prix,13,19,0.0,6
1999,San Marino Grand Prix,5,22,0.0,17
1999,Monaco Grand Prix,7,7,0.0,0
1999,Spanish Grand Prix,9,6,1.0,-3
1999,Canadian Grand Prix,9,21,0.0,12
1999,French Grand Prix,8,7,0.0,-1
1999,British Grand Prix,14,9,0.0,-5
1999,Austrian Grand Prix,13,7,0.0,-6
1999,German Grand Prix,9,18,0.0,9
1999,Hungarian Grand Prix,13,8,0.0,-5
1999,Belgian Grand Prix,12,12,0.0,0
1999,Italian Grand Prix,12,16,0.0,4
1999,European Grand Prix,10,2,6.0,-8
1999,Malaysian Grand Prix,18,22,0.0,4
1999,Japanese Grand Prix,7,21,0.0,14
1998,Australian Grand Prix,15,12,0.0,-3
1998,Brazilian Grand Prix,12,20,0.0,8
1998,Argentine Grand Prix,16,11,0.0,-5
1998,San Marino Grand Prix,16,14,0.0,-2
1998,Spanish Grand Prix,16,9,0.0,-7
1998,Monaco Grand Prix,10,13,0.0,3
1998,Canadian Grand Prix,14,21,0.0,7
1998,French Grand Prix,12,19,0.0,7
1998,British Grand Prix,14,16,0.0,2
1998,Austrian Grand Prix,16,10,0.0,-6
1998,German Grand Prix,14,12,0.0,-2
1998,Hungarian Grand Prix,16,18,0.0,2
1998,Belgian Grand Prix,13,6,1.0,-7
1998,Italian Grand Prix,10,13,0.0,3
1998,Luxembourg Grand Prix,14,21,0.0,7
1998,Japanese Grand Prix,14,12,0.0,-2
1997,Australian Grand Prix,17,9,0.0,-8
1997,Brazilian Grand Prix,17,12,0.0,-5
1997,Argentine Grand Prix,18,9,0.0,-9
1997,San Marino Grand Prix,20,22,0.0,2
1997,Monaco Grand Prix,18,18,0.0,0
1997,Spanish Grand Prix,18,15,0.0,-3
