driverId,surname,Posicion_Media_Salida,Posicion_Media_Final,Numero_Carreras
2,Heidfeld,11.33695652173913,10.722826086956522,184
3,Rosberg,6.902912621359223,8.25242718446602,206
10,Glock,17.0,15.23157894736842,95
16,Sutil,14.796875,14.5234375,128
20,Vettel,6.266666666666667,7.093333333333334,300
23,Schumacher,7.8277777777777775,9.866666666666667,180
28,Winkelhock,22.0,17.0,1
30,Schumacher,4.866883116883117,6.87987012987013,308
49,Frentzen,8.786163522012579,11.081761006289309,159
143,Bartels,0.0,28.75,4
146,Schneider,5.90625,28.5,32
157,Danner,15.76595744680851,18.127659574468087,47
161,Weidler,0.0,34.7,10
164,Winkelhock,0.0,36.57142857142857,7
181,Winkelhock,12.872727272727273,17.87272727272727,55
185,Bellof,19.863636363636363,14.318181818181818,22
200,Mass,14.026315789473685,13.421052631578947,114
233,Stuck,13.197530864197532,16.160493827160494,81
243,Stommelen,15.37704918032787,14.721311475409836,61
268,Heyer,25.0,24.0,1
365,Hahne,10.666666666666666,17.333333333333332,3
379,Ahrens,20.0,16.5,2
423,Mitter,12.4,14.6,5
431,Barth,11.571428571428571,17.714285714285715,7
442,Kuhnke,0.0,28.5,2
445,Seiffert,0.0,30.5,2
455,Seidel,16.153846153846153,20.076923076923077,13
476,von Trips,7.5,8.178571428571429,28
478,Herrmann,10.15,12.95,20
648,Kling,7.0,8.5,12
691,Lang,12.0,8.5,2
692,Helfrich,22.333333333333332,17.666666666666668,3
711,Karch,34.0,22.0,1
712,Heeks,13.5,18.5,2
714,Adolff,27.0,28.0,1
715,Bechem,30.0,23.5,2
716,Bauer,33.0,32.0,1
717,von Stuck,16.5,24.5,4
718,Loof,31.0,34.0,1
724,Ulmen,15.5,13.5,2
750,Brudes,19.0,16.0,1
751,Riess,12.0,7.0,1
752,Niedermayr,22.0,9.0,1
753,Klenk,8.0,11.0,1
756,Pietsch,13.666666666666666,22.0,3
757,Peters,20.0,28.0,1
807,Hülkenberg,10.491304347826087,11.92608695652174,230
827,Lotterer,21.0,22.0,1
836,Wehrlein,17.384615384615383,16.128205128205128,39
854,Schumacher,15.340909090909092,15.659090909090908,44
