driverId,surname,Numero_Carreras,Posicion_Media_Salida,Posicion_Media_Final
2,Heidfeld,184,11.33695652173913,10.722826086956522
3,Rosberg,206,6.902912621359223,8.25242718446602
10,Glock,94,17.180851063829788,15.138297872340425
16,Sutil,128,14.796875,14.5234375
20,Vettel,298,6.308724832214765,7.033557046979865
23,Schumacher,180,7.8277777777777775,9.866666666666667
28,Winkelhock,1,22.0,17.0
30,Schumacher,308,4.866883116883117,6.87987012987013
49,Frentzen,157,8.898089171974522,10.936305732484076
146,Schneider,9,21.0,17.88888888888889
157,Danner,36,20.583333333333332,15.027777777777779
181,Winkelhock,48,14.75,16.5625
185,Bellof,20,21.85,13.35
200,Mass,106,15.084905660377359,12.471698113207546
233,Stuck,74,14.445945945945946,15.18918918918919
243,Stommelen,54,17.37037037037037,13.11111111111111
268,Heyer,1,25.0,24.0
365,Hahne,2,16.0,13.5
379,Ahrens,2,20.0,16.5
423,Mitter,4,15.5,11.0
431,Barth,5,16.2,12.6
455,Seidel,10,21.0,18.3
476,von Trips,27,7.777777777777778,7.555555555555555
478,Herrmann,17,11.941176470588236,11.117647058823529
648,Kling,12,7.0,8.5
691,Lang,2,12.0,8.5
692,Helfrich,3,22.333333333333332,17.666666666666668
711,Karch,1,34.0,22.0
712,Heeks,2,13.5,18.5
714,Adolff,1,27.0,28.0
715,Bechem,2,30.0,23.5
716,Bauer,1,33.0,32.0
717,von Stuck,3,22.0,21.666666666666668
718,Loof,1,31.0,34.0
724,Ulmen,2,15.5,13.5
750,Brudes,1,19.0,16.0
751,Riess,1,12.0,7.0
752,Niedermayr,1,22.0,9.0
753,Klenk,1,8.0,11.0
756,Pietsch,3,13.666666666666666,22.0
757,Peters,1,20.0,28.0
807,Hülkenberg,226,10.676991150442477,11.876106194690266
827,Lotterer,1,21.0,22.0
836,Wehrlein,39,17.384615384615383,16.128205128205128
854,Schumacher,43,15.69767441860465,15.55813953488372
