Piloto_ID,Piloto,Año,Carrera,Posición_Salida,Posición_Final,Puntos,Constructor
2,Heidfeld,2008,Australian Grand Prix,5,2,8.0,BMW Sauber
3,Rosberg,2008,Australian Grand Prix,7,3,6.0,Williams
10,Glock,2008,Australian Grand Prix,18,10,0.0,Toyota
16,Sutil,2008,Australian Grand Prix,22,16,0.0,Force India
20,Vettel,2008,Australian Grand Prix,9,20,0.0,Toro Rosso
2,Heidfeld,2008,Malaysian Grand Prix,5,6,3.0,BMW Sauber
3,Rosberg,2008,Malaysian Grand Prix,16,14,0.0,Williams
20,Vettel,2008,Malaysian Grand Prix,15,18,0.0,Toro Rosso
16,Sutil,2008,Malaysian Grand Prix,20,20,0.0,Force India
10,Glock,2008,Malaysian Grand Prix,10,21,0.0,Toyota
2,Heidfeld,2008,Bahrain Grand Prix,6,4,5.0,BMW Sauber
3,Rosberg,2008,Bahrain Grand Prix,8,8,1.0,Williams
10,Glock,2008,Bahrain Grand Prix,13,9,0.0,Toyota
16,Sutil,2008,Bahrain Grand Prix,20,19,0.0,Force India
20,Vettel,2008,Bahrain Grand Prix,19,22,0.0,Toro Rosso
2,Heidfeld,2008,Spanish Grand Prix,9,9,0.0,BMW Sauber
10,Glock,2008,Spanish Grand Prix,14,11,0.0,Toyota
3,Rosberg,2008,Spanish Grand Prix,15,14,0.0,Williams
16,Sutil,2008,Spanish Grand Prix,20,21,0.0,Force India
20,Vettel,2008,Spanish Grand Prix,18,22,0.0,Toro Rosso
2,Heidfeld,2008,Turkish Grand Prix,9,5,4.0,BMW Sauber
3,Rosberg,2008,Turkish Grand Prix,11,8,1.0,Williams
10,Glock,2008,Turkish Grand Prix,15,13,0.0,Toyota
16,Sutil,2008,Turkish Grand Prix,19,16,0.0,Force India
20,Vettel,2008,Turkish Grand Prix,14,17,0.0,Toro Rosso
20,Vettel,2008,Monaco Grand Prix,19,5,4.0,Toro Rosso
10,Glock,2008,Monaco Grand Prix,10,12,0.0,Toyota
2,Heidfeld,2008,Monaco Grand Prix,12,14,0.0,BMW Sauber
16,Sutil,2008,Monaco Grand Prix,18,15,0.0,Force India
3,Rosberg,2008,Monaco Grand Prix,6,16,0.0,Williams
2,Heidfeld,2008,Canadian Grand Prix,8,2,8.0,BMW Sauber
10,Glock,2008,Canadian Grand Prix,11,4,5.0,Toyota
20,Vettel,2008,Canadian Grand Prix,19,8,1.0,Toro Rosso
3,Rosberg,2008,Canadian Grand Prix,5,10,0.0,Williams
16,Sutil,2008,Canadian Grand Prix,16,20,0.0,Force India
10,Glock,2008,French Grand Prix,8,11,0.0,Toyota
20,Vettel,2008,French Grand Prix,12,12,0.0,Toro Rosso
2,Heidfeld,2008,French Grand Prix,11,13,0.0,BMW Sauber
3,Rosberg,2008,French Grand Prix,19,16,0.0,Williams
16,Sutil,2008,French Grand Prix,18,19,0.0,Force India
2,Heidfeld,2008,British Grand Prix,5,2,8.0,BMW Sauber
3,Rosberg,2008,British Grand Prix,20,9,0.0,Williams
10,Glock,2008,British Grand Prix,12,12,0.0,Toyota
16,Sutil,2008,British Grand Prix,18,18,0.0,Force India
20,Vettel,2008,British Grand Prix,8,19,0.0,Toro Rosso
2,Heidfeld,2008,German Grand Prix,12,4,5.0,BMW Sauber
20,Vettel,2008,German Grand Prix,9,8,1.0,Toro Rosso
3,Rosberg,2008,German Grand Prix,13,10,0.0,Williams
16,Sutil,2008,German Grand Prix,19,15,0.0,Force India
10,Glock,2008,German Grand Prix,11,20,0.0,Toyota
10,Glock,2008,Hungarian Grand Prix,5,2,8.0,Toyota
2,Heidfeld,2008,Hungarian Grand Prix,15,10,0.0,BMW Sauber
3,Rosberg,2008,Hungarian Grand Prix,14,14,0.0,Williams
16,Sutil,2008,Hungarian Grand Prix,20,19,0.0,Force India
20,Vettel,2008,Hungarian Grand Prix,11,20,0.0,Toro Rosso
20,Vettel,2008,European Grand Prix,6,6,3.0,Toro Rosso
10,Glock,2008,European Grand Prix,13,7,2.0,Toyota
3,Rosberg,2008,European Grand Prix,9,8,1.0,Williams
2,Heidfeld,2008,European Grand Prix,8,9,0.0,BMW Sauber
16,Sutil,2008,European Grand Prix,20,19,0.0,Force India
2,Heidfeld,2008,Belgian Grand Prix,5,2,8.0,BMW Sauber
20,Vettel,2008,Belgian Grand Prix,10,5,4.0,Toro Rosso
10,Glock,2008,Belgian Grand Prix,13,9,0.0,Toyota
3,Rosberg,2008,Belgian Grand Prix,15,12,0.0,Williams
16,Sutil,2008,Belgian Grand Prix,18,13,0.0,Force India
20,Vettel,2008,Italian Grand Prix,1,1,10.0,Toro Rosso
2,Heidfeld,2008,Italian Grand Prix,10,5,4.0,BMW Sauber
10,Glock,2008,Italian Grand Prix,9,11,0.0,Toyota
3,Rosberg,2008,Italian Grand Prix,5,14,0.0,Williams
16,Sutil,2008,Italian Grand Prix,20,19,0.0,Force India
3,Rosberg,2008,Singapore Grand Prix,8,2,8.0,Williams
10,Glock,2008,Singapore Grand Prix,7,4,5.0,Toyota
20,Vettel,2008,Singapore Grand Prix,6,5,4.0,Toro Rosso
2,Heidfeld,2008,Singapore Grand Prix,9,6,3.0,BMW Sauber
16,Sutil,2008,Singapore Grand Prix,19,17,0.0,Force India
20,Vettel,2008,Japanese Grand Prix,9,6,3.0,Toro Rosso
2,Heidfeld,2008,Japanese Grand Prix,16,9,0.0,BMW Sauber
3,Rosberg,2008,Japanese Grand Prix,15,11,0.0,Williams
16,Sutil,2008,Japanese Grand Prix,19,18,0.0,Force India
10,Glock,2008,Japanese Grand Prix,8,19,0.0,Toyota
2,Heidfeld,2008,Chinese Grand Prix,9,5,4.0,BMW Sauber
10,Glock,2008,Chinese Grand Prix,12,7,2.0,Toyota
20,Vettel,2008,Chinese Grand Prix,6,9,0.0,Toro Rosso
3,Rosberg,2008,Chinese Grand Prix,14,15,0.0,Williams
16,Sutil,2008,Chinese Grand Prix,19,19,0.0,Force India
20,Vettel,2008,Brazilian Grand Prix,7,4,5.0,Toro Rosso
10,Glock,2008,Brazilian Grand Prix,10,6,3.0,Toyota
2,Heidfeld,2008,Brazilian Grand Prix,8,10,0.0,BMW Sauber
3,Rosberg,2008,Brazilian Grand Prix,18,12,0.0,Williams
16,Sutil,2008,Brazilian Grand Prix,20,16,0.0,Force India
2,Heidfeld,2007,Australian Grand Prix,3,4,5.0,BMW Sauber
3,Rosberg,2007,Australian Grand Prix,12,7,2.0,Williams
23,Schumacher,2007,Australian Grand Prix,9,8,1.0,Toyota
16,Sutil,2007,Australian Grand Prix,20,17,0.0,Spyker
2,Heidfeld,2007,Malaysian Grand Prix,5,4,5.0,BMW Sauber
23,Schumacher,2007,Malaysian Grand Prix,9,15,0.0,Toyota
3,Rosberg,2007,Malaysian Grand Prix,6,19,0.0,Williams
16,Sutil,2007,Malaysian Grand Prix,21,22,0.0,Spyker
2,Heidfeld,2007,Bahrain Grand Prix,5,4,5.0,BMW Sauber
3,Rosberg,2007,Bahrain Grand Prix,10,10,0.0,Williams
23,Schumacher,2007,Bahrain Grand Prix,14,12,0.0,Toyota
