Piloto,driverId,Año,Constructor,Puntos
Villoresi,633,1950,Ferrari,0.0
Taruffi,641,1950,Alfa Romeo,0.0
Farina,642,1950,Alfa Romeo,30.0
Ascari,647,1950,Ferrari,11.0
Bonetto,697,1950,Maserati,2.0
Bonetto,697,1950,Milano,0.0
Comotti,740,1950,Maserati,0.0
Rol,762,1950,Maserati,0.0
Sanesi,763,1950,Alfa Romeo,0.0
Fagioli,786,1950,Alfa Romeo,28.0
Biondetti,791,1950,Ferrari,0.0
Pagani,800,1950,Maserati,0.0
Serafini,802,1950,Ferrari,3.0
Villoresi,633,1951,Ferrari,18.0
Taruffi,641,1951,Ferrari,10.0
Farina,642,1951,Alfa Romeo,22.0
Ascari,647,1951,Ferrari,28.0
Bonetto,697,1951,Alfa Romeo,7.0
Rol,762,1951,OSCA,0.0
Sanesi,763,1951,Alfa Romeo,3.0
Fagioli,786,1951,Alfa Romeo,4.0
Villoresi,633,1952,Ferrari,8.0
Taruffi,641,1952,Ferrari,22.0
Farina,642,1952,Ferrari,27.0
Ascari,647,1952,Ferrari,53.5
Bonetto,697,1952,Maserati,2.0
Carini,722,1952,Ferrari,0.0
Comotti,740,1952,Ferrari,0.0
Dusio,760,1952,Cisitalia,0.0
Rol,762,1952,Maserati,0.0
Musso,577,1953,Maserati,0.0
Maglioli,620,1953,Ferrari,0.0
Villoresi,633,1953,Ferrari,17.0
Farina,642,1953,Ferrari,32.0
Mantovani,644,1953,Maserati,0.0
Ascari,647,1953,Ferrari,46.5
Bonetto,697,1953,Maserati,6.5
Carini,722,1953,Ferrari,0.0
Musso,577,1954,Maserati,6.0
Maglioli,620,1954,Ferrari,2.0
Villoresi,633,1954,Lancia,0.0
Villoresi,633,1954,Maserati,2.0
Taruffi,641,1954,Ferrari,0.0
Farina,642,1954,Ferrari,6.0
Mantovani,644,1954,Maserati,4.0
Ascari,647,1954,Ferrari,0.0
Ascari,647,1954,Lancia,1.0
Ascari,647,1954,Maserati,0.0
de Riu,694,1954,Maserati,0.0
Musso,577,1955,Maserati,6.0
Piotti,586,1955,Arzani-Volpini,0.0
Perdisa,607,1955,Maserati,2.0
Castellotti,608,1955,Ferrari,6.0
Castellotti,608,1955,Lancia,6.0
Maglioli,620,1955,Ferrari,1.33
Villoresi,633,1955,Ferrari,0.0
Villoresi,633,1955,Lancia,2.0
Taruffi,641,1955,Ferrari,0.0
Taruffi,641,1955,Mercedes,9.0
Farina,642,1955,Ferrari,10.33
Mantovani,644,1955,Maserati,0.0
Ascari,647,1955,Lancia,0.0
Scarlatti,483,1956,Ferrari,0.0
Musso,577,1956,Ferrari,4.0
Gerini,583,1956,Maserati,1.5
Piotti,586,1956,Maserati,0.0
Perdisa,607,1956,Maserati,3.0
Castellotti,608,1956,Ferrari,7.5
Maglioli,620,1956,Maserati,0.0
Villoresi,633,1956,Maserati,2.0
Scotti,634,1956,Connaught,0.0
Taruffi,641,1956,Vanwall,0.0
Scarlatti,483,1957,Maserati,1.0
Musso,577,1957,Ferrari,16.0
Piotti,586,1957,Maserati,0.0
Perdisa,607,1957,Ferrari,0.0
Castellotti,608,1957,Ferrari,0.0
Maglioli,620,1957,Porsche,0.0
Scarlatti,483,1958,Maserati,0.0
Cabianca,543,1958,Maserati,0.0
Cabianca,543,1958,OSCA,0.0
de Filippis,551,1958,Maserati,0.0
Musso,577,1958,Ferrari,12.0
Gerini,583,1958,Maserati,0.0
Piotti,586,1958,OSCA,0.0
Taramazzo,588,1958,Maserati,0.0
Scarlatti,483,1959,Cooper-Climax,0.0
Scarlatti,483,1959,Maserati,0.0
Cabianca,543,1959,Maserati,0.0
de Filippis,551,1959,Porsche,0.0
Scarlatti,483,1960,Cooper-Castellotti,0.0
Scarlatti,483,1960,Cooper-Maserati,0.0
Scarlatti,483,1960,Maserati,0.0
Munaron,500,1960,Cooper-Castellotti,0.0
Munaron,500,1960,Maserati,0.0
Cabianca,543,1960,Cooper-Castellotti,3.0
Drogo,544,1960,Cooper-Climax,0.0
Bandini,385,1961,Cooper-Maserati,0.0
Baghetti,394,1961,Ferrari,9.0
Bussinello,424,1961,De Tomaso-Alfa Romeo,0.0
Vaccarella,425,1961,De Tomaso-Alfa Romeo,0.0
Lippi,444,1961,De Tomaso-Osca,0.0
Starrabba,447,1961,Lotus-Maserati,0.0
Prinoth,467,1961,Lotus-Climax,0.0
Scarlatti,483,1961,De Tomaso-Osca,0.0
Natili,487,1961,Cooper-Maserati,0.0
Pirocchi,489,1961,Cooper-Climax,0.0
Pirocchi,489,1961,Cooper-Maserati,0.0
