Piloto_ID,Piloto,Año,Carrera,Posición_Salida,Posición_Final,Puntos,Constructor
1,Hamilton,2008,Australian Grand Prix,1,1,10.0,McLaren
4,Alonso,2008,Australian Grand Prix,11,4,5.0,Renault
20,Vettel,2008,Australian Grand Prix,9,20,0.0,Toro Rosso
1,Hamilton,2008,Malaysian Grand Prix,9,5,4.0,McLaren
4,Alonso,2008,Malaysian Grand Prix,7,8,1.0,Renault
20,Vettel,2008,Malaysian Grand Prix,15,18,0.0,Toro Rosso
4,Alonso,2008,Bahrain Grand Prix,10,10,0.0,Renault
1,Hamilton,2008,Bahrain Grand Prix,3,13,0.0,McLaren
20,Vettel,2008,Bahrain Grand Prix,19,22,0.0,Toro Rosso
1,Hamilton,2008,Spanish Grand Prix,5,3,6.0,McLaren
4,Alonso,2008,Spanish Grand Prix,2,15,0.0,Renault
20,Vettel,2008,Spanish Grand Prix,18,22,0.0,Toro Rosso
1,Hamilton,2008,Turkish Grand Prix,3,2,8.0,McLaren
4,Alonso,2008,Turkish Grand Prix,7,6,3.0,Renault
20,Vettel,2008,Turkish Grand Prix,14,17,0.0,Toro Rosso
1,Hamilton,2008,Monaco Grand Prix,3,1,10.0,McLaren
20,Vettel,2008,Monaco Grand Prix,19,5,4.0,Toro Rosso
4,Alonso,2008,Monaco Grand Prix,7,10,0.0,Renault
20,Vettel,2008,Canadian Grand Prix,19,8,1.0,Toro Rosso
4,Alonso,2008,Canadian Grand Prix,4,16,0.0,Renault
1,Hamilton,2008,Canadian Grand Prix,1,19,0.0,McLaren
4,Alonso,2008,French Grand Prix,3,8,1.0,Renault
1,Hamilton,2008,French Grand Prix,13,10,0.0,McLaren
20,Vettel,2008,French Grand Prix,12,12,0.0,Toro Rosso
1,Hamilton,2008,British Grand Prix,4,1,10.0,McLaren
4,Alonso,2008,British Grand Prix,6,6,3.0,Renault
20,Vettel,2008,British Grand Prix,8,19,0.0,Toro Rosso
1,Hamilton,2008,German Grand Prix,1,1,10.0,McLaren
20,Vettel,2008,German Grand Prix,9,8,1.0,Toro Rosso
4,Alonso,2008,German Grand Prix,5,11,0.0,Renault
4,Alonso,2008,Hungarian Grand Prix,7,4,5.0,Renault
1,Hamilton,2008,Hungarian Grand Prix,1,5,4.0,McLaren
20,Vettel,2008,Hungarian Grand Prix,11,20,0.0,Toro Rosso
1,Hamilton,2008,European Grand Prix,2,2,8.0,McLaren
20,Vettel,2008,European Grand Prix,6,6,3.0,Toro Rosso
4,Alonso,2008,European Grand Prix,12,20,0.0,Renault
1,Hamilton,2008,Belgian Grand Prix,1,3,6.0,McLaren
4,Alonso,2008,Belgian Grand Prix,6,4,5.0,Renault
20,Vettel,2008,Belgian Grand Prix,10,5,4.0,Toro Rosso
20,Vettel,2008,Italian Grand Prix,1,1,10.0,Toro Rosso
4,Alonso,2008,Italian Grand Prix,8,4,5.0,Renault
1,Hamilton,2008,Italian Grand Prix,15,7,2.0,McLaren
4,Alonso,2008,Singapore Grand Prix,15,1,10.0,Renault
1,Hamilton,2008,Singapore Grand Prix,2,3,6.0,McLaren
20,Vettel,2008,Singapore Grand Prix,6,5,4.0,Toro Rosso
4,Alonso,2008,Japanese Grand Prix,4,1,10.0,Renault
20,Vettel,2008,Japanese Grand Prix,9,6,3.0,Toro Rosso
1,Hamilton,2008,Japanese Grand Prix,1,12,0.0,McLaren
1,Hamilton,2008,Chinese Grand Prix,1,1,10.0,McLaren
4,Alonso,2008,Chinese Grand Prix,4,4,5.0,Renault
20,Vettel,2008,Chinese Grand Prix,6,9,0.0,Toro Rosso
4,Alonso,2008,Brazilian Grand Prix,6,2,8.0,Renault
20,Vettel,2008,Brazilian Grand Prix,7,4,5.0,Toro Rosso
1,Hamilton,2008,Brazilian Grand Prix,4,5,4.0,McLaren
4,Alonso,2007,Australian Grand Prix,2,2,8.0,McLaren
1,Hamilton,2007,Australian Grand Prix,4,3,6.0,McLaren
4,Alonso,2007,Malaysian Grand Prix,2,1,10.0,McLaren
1,Hamilton,2007,Malaysian Grand Prix,4,2,8.0,McLaren
1,Hamilton,2007,Bahrain Grand Prix,2,2,8.0,McLaren
4,Alonso,2007,Bahrain Grand Prix,4,5,4.0,McLaren
1,Hamilton,2007,Spanish Grand Prix,4,2,8.0,McLaren
4,Alonso,2007,Spanish Grand Prix,2,3,6.0,McLaren
4,Alonso,2007,Monaco Grand Prix,1,1,10.0,McLaren
1,Hamilton,2007,Monaco Grand Prix,2,2,8.0,McLaren
1,Hamilton,2007,Canadian Grand Prix,1,1,10.0,McLaren
4,Alonso,2007,Canadian Grand Prix,2,7,2.0,McLaren
1,Hamilton,2007,United States Grand Prix,1,1,10.0,McLaren
4,Alonso,2007,United States Grand Prix,2,2,8.0,McLaren
20,Vettel,2007,United States Grand Prix,7,8,1.0,BMW Sauber
1,Hamilton,2007,French Grand Prix,2,3,6.0,McLaren
4,Alonso,2007,French Grand Prix,10,7,2.0,McLaren
4,Alonso,2007,British Grand Prix,3,2,8.0,McLaren
1,Hamilton,2007,British Grand Prix,1,3,6.0,McLaren
4,Alonso,2007,European Grand Prix,2,1,10.0,McLaren
1,Hamilton,2007,European Grand Prix,10,9,0.0,McLaren
1,Hamilton,2007,Hungarian Grand Prix,1,1,10.0,McLaren
4,Alonso,2007,Hungarian Grand Prix,6,4,5.0,McLaren
20,Vettel,2007,Hungarian Grand Prix,20,16,0.0,Toro Rosso
4,Alonso,2007,Turkish Grand Prix,4,3,6.0,McLaren
1,Hamilton,2007,Turkish Grand Prix,2,5,4.0,McLaren
20,Vettel,2007,Turkish Grand Prix,18,19,0.0,Toro Rosso
4,Alonso,2007,Italian Grand Prix,1,1,10.0,McLaren
1,Hamilton,2007,Italian Grand Prix,2,2,8.0,McLaren
20,Vettel,2007,Italian Grand Prix,16,18,0.0,Toro Rosso
4,Alonso,2007,Belgian Grand Prix,3,3,6.0,McLaren
1,Hamilton,2007,Belgian Grand Prix,4,4,5.0,McLaren
20,Vettel,2007,Belgian Grand Prix,16,21,0.0,Toro Rosso
1,Hamilton,2007,Japanese Grand Prix,1,1,10.0,McLaren
20,Vettel,2007,Japanese Grand Prix,8,19,0.0,Toro Rosso
4,Alonso,2007,Japanese Grand Prix,2,21,0.0,McLaren
4,Alonso,2007,Chinese Grand Prix,4,2,8.0,McLaren
20,Vettel,2007,Chinese Grand Prix,17,4,5.0,Toro Rosso
1,Hamilton,2007,Chinese Grand Prix,1,19,0.0,McLaren
4,Alonso,2007,Brazilian Grand Prix,4,3,6.0,McLaren
1,Hamilton,2007,Brazilian Grand Prix,2,7,2.0,McLaren
20,Vettel,2007,Brazilian Grand Prix,13,18,0.0,Toro Rosso
4,Alonso,2006,Bahrain Grand Prix,4,1,10.0,Renault
30,Schumacher,2006,Bahrain Grand Prix,1,2,8.0,Ferrari
4,Alonso,2006,Malaysian Grand Prix,7,2,8.0,Renault
30,Schumacher,2006,Malaysian Grand Prix,14,6,3.0,Ferrari
4,Alonso,2006,Australian Grand Prix,3,1,10.0,Renault
30,Schumacher,2006,Australian Grand Prix,10,17,0.0,Ferrari
30,Schumacher,2006,San Marino Grand Prix,1,1,10.0,Ferrari
4,Alonso,2006,San Marino Grand Prix,5,2,8.0,Renault
30,Schumacher,2006,European Grand Prix,2,1,10.0,Ferrari
4,Alonso,2006,European Grand Prix,1,2,8.0,Renault
4,Alonso,2006,Spanish Grand Prix,1,1,10.0,Renault
30,Schumacher,2006,Spanish Grand Prix,3,2,8.0,Ferrari
4,Alonso,2006,Monaco Grand Prix,1,1,10.0,Renault
30,Schumacher,2006,Monaco Grand Prix,22,5,4.0,Ferrari
4,Alonso,2006,British Grand Prix,1,1,10.0,Renault
30,Schumacher,2006,British Grand Prix,3,2,8.0,Ferrari
4,Alonso,2006,Canadian Grand Prix,1,1,10.0,Renault
30,Schumacher,2006,Canadian Grand Prix,5,2,8.0,Ferrari
30,Schumacher,2006,United States Grand Prix,1,1,10.0,Ferrari
4,Alonso,2006,United States Grand Prix,5,5,4.0,Renault
30,Schumacher,2006,French Grand Prix,1,1,10.0,Ferrari
4,Alonso,2006,French Grand Prix,3,2,8.0,Renault
30,Schumacher,2006,German Grand Prix,2,1,10.0,Ferrari
4,Alonso,2006,German Grand Prix,7,5,4.0,Renault
30,Schumacher,2006,Hungarian Grand Prix,11,8,1.0,Ferrari
4,Alonso,2006,Hungarian Grand Prix,15,14,0.0,Renault
4,Alonso,2006,Turkish Grand Prix,3,2,8.0,Renault
30,Schumacher,2006,Turkish Grand Prix,2,3,6.0,Ferrari
30,Schumacher,2006,Italian Grand Prix,2,1,10.0,Ferrari
4,Alonso,2006,Italian Grand Prix,10,19,0.0,Renault
30,Schumacher,2006,Chinese Grand Prix,6,1,10.0,Ferrari
4,Alonso,2006,Chinese Grand Prix,1,2,8.0,Renault
4,Alonso,2006,Japanese Grand Prix,5,1,10.0,Renault
30,Schumacher,2006,Japanese Grand Prix,2,20,0.0,Ferrari
4,Alonso,2006,Brazilian Grand Prix,4,2,8.0,Renault
30,Schumacher,2006,Brazilian Grand Prix,10,4,5.0,Ferrari
4,Alonso,2005,Australian Grand Prix,13,3,6.0,Renault
30,Schumacher,2005,Australian Grand Prix,19,18,0.0,Ferrari
4,Alonso,2005,Malaysian Grand Prix,1,1,10.0,Renault
30,Schumacher,2005,Malaysian Grand Prix,13,7,2.0,Ferrari
4,Alonso,2005,Bahrain Grand Prix,1,1,10.0,Renault
30,Schumacher,2005,Bahrain Grand Prix,2,17,0.0,Ferrari
4,Alonso,2005,San Marino Grand Prix,2,1,10.0,Renault
30,Schumacher,2005,San Marino Grand Prix,13,2,8.0,Ferrari
4,Alonso,2005,Spanish Grand Prix,3,2,8.0,Renault
30,Schumacher,2005,Spanish Grand Prix,8,15,0.0,Ferrari
4,Alonso,2005,Monaco Grand Prix,2,4,5.0,Renault
30,Schumacher,2005,Monaco Grand Prix,8,7,2.0,Ferrari
4,Alonso,2005,European Grand Prix,6,1,10.0,Renault
30,Schumacher,2005,European Grand Prix,10,5,4.0,Ferrari
30,Schumacher,2005,Canadian Grand Prix,2,2,8.0,Ferrari
4,Alonso,2005,Canadian Grand Prix,3,17,0.0,Renault
30,Schumacher,2005,United States Grand Prix,5,1,10.0,Ferrari
4,Alonso,2005,United States Grand Prix,6,11,0.0,Renault
4,Alonso,2005,French Grand Prix,1,1,10.0,Renault
30,Schumacher,2005,French Grand Prix,3,3,6.0,Ferrari
4,Alonso,2005,British Grand Prix,1,2,8.0,Renault
30,Schumacher,2005,British Grand Prix,9,6,3.0,Ferrari
4,Alonso,2005,German Grand Prix,3,1,10.0,Renault
30,Schumacher,2005,German Grand Prix,5,5,4.0,Ferrari
30,Schumacher,2005,Hungarian Grand Prix,1,2,8.0,Ferrari
4,Alonso,2005,Hungarian Grand Prix,6,11,0.0,Renault
4,Alonso,2005,Turkish Grand Prix,3,2,8.0,Renault
30,Schumacher,2005,Turkish Grand Prix,19,17,0.0,Ferrari
4,Alonso,2005,Italian Grand Prix,2,2,8.0,Renault
30,Schumacher,2005,Italian Grand Prix,6,10,0.0,Ferrari
4,Alonso,2005,Belgian Grand Prix,4,2,8.0,Renault
30,Schumacher,2005,Belgian Grand Prix,6,18,0.0,Ferrari
4,Alonso,2005,Brazilian Grand Prix,1,3,6.0,Renault
30,Schumacher,2005,Brazilian Grand Prix,7,4,5.0,Ferrari
4,Alonso,2005,Japanese Grand Prix,16,3,6.0,Renault
30,Schumacher,2005,Japanese Grand Prix,14,7,2.0,Ferrari
4,Alonso,2005,Chinese Grand Prix,1,1,10.0,Renault
30,Schumacher,2005,Chinese Grand Prix,6,20,0.0,Ferrari
30,Schumacher,2004,Australian Grand Prix,1,1,10.0,Ferrari
4,Alonso,2004,Australian Grand Prix,5,3,6.0,Renault
30,Schumacher,2004,Malaysian Grand Prix,1,1,10.0,Ferrari
4,Alonso,2004,Malaysian Grand Prix,19,7,2.0,Renault
