Piloto_ID,Piloto,Numero_Carreras,Puntos_Totales,Piloto_Leyenda,Carreras_Mejora_Posición,Puntos_por_Carrera
4,Alonso,404,2329.0,Alonso (2329 pts),211,5.764851485148514
832,Sainz,208,1203.5,Sainz (1203 pts),0,5.7860576923076925
37,de la Rosa,107,35.0,de la Rosa (35 pts),0,0.32710280373831774
153,Alguersuari,46,31.0,Alguersuari (31 pts),0,0.6739130434782609
580,Godia,14,6.0,Godia (6 pts),0,0.42857142857142855
48,Gené,36,5.0,Gené (5 pts),0,0.1388888888888889
606,de Portago,6,4.0,de Portago (4 pts),0,0.6666666666666666
159,Pérez-Sala,32,1.0,Pérez-Sala (1 pts),0,0.03125
167,Campos,21,0.0,Campos (0 pts),0,0.0
208,de Villota,14,0.0,de Villota (0 pts),0,0.0
279,Zapico,1,0.0,Zapico (0 pts),0,0.0
504,Creus,1,0.0,Creus (0 pts),0,0.0
339,Soler-Roig,9,0.0,Soler-Roig (0 pts),0,0.0
782,Jover,1,0.0,Jover (0 pts),0,0.0
833,Merhi,13,0.0,Merhi (0 pts),0,0.0
