driverId,surname,forename,Numero_Carreras,Numero_Temporadas,Puntos_Totales,Puntos_Promedio
1,Hamilton,Lewis,356,18,4820.5,13.540730337078651
2,Heidfeld,Nick,184,12,259.0,1.4076086956521738
3,Rosberg,Nico,206,11,1594.5,7.740291262135922
4,Alonso,Fernando,404,21,2329.0,5.764851485148514
5,Kovalainen,Heikki,112,7,105.0,0.9375
6,Nakajima,Kazuki,36,3,9.0,0.25
7,Bourdais,Sébastien,27,2,6.0,0.2222222222222222
8,Räikkönen,Kimi,352,19,1873.0,5.3210227272727275
9,Kubica,Robert,99,7,274.0,2.7676767676767677
10,Glock,Timo,95,6,51.0,0.5368421052631579
11,Sato,Takuma,91,7,44.0,0.4835164835164835
12,Piquet Jr.,Nelson,28,2,19.0,0.6785714285714286
13,Massa,Felipe,271,15,1167.0,4.306273062730627
14,Coulthard,David,247,15,535.0,2.165991902834008
15,Trulli,Jarno,256,15,246.5,0.962890625
16,Sutil,Adrian,128,7,124.0,0.96875
17,Webber,Mark,217,12,1047.5,4.8271889400921655
18,Button,Jenson,309,18,1235.0,3.9967637540453076
19,Davidson,Anthony,24,4,0.0,0.0
20,Vettel,Sebastian,300,16,3098.0,10.326666666666666
21,Fisichella,Giancarlo,231,14,275.0,1.1904761904761905
22,Barrichello,Rubens,326,19,658.0,2.01840490797546
23,Schumacher,Ralf,180,11,329.0,1.8277777777777777
24,Liuzzi,Vitantonio,81,6,26.0,0.32098765432098764
25,Wurz,Alexander,69,6,45.0,0.6521739130434783
26,Speed,Scott,28,2,0.0,0.0
27,Albers,Christijan,46,3,4.0,0.08695652173913043
29,Yamamoto,Sakon,21,3,0.0,0.0
30,Schumacher,Michael,308,19,1566.0,5.084415584415584
31,Pablo Montoya,Juan,95,6,307.0,3.231578947368421
32,Klien,Christian,51,4,14.0,0.27450980392156865
33,Monteiro,Tiago,37,2,7.0,0.1891891891891892
35,Villeneuve,Jacques,165,11,235.0,1.4242424242424243
37,de la Rosa,Pedro,107,9,35.0,0.32710280373831774
39,Karthikeyan,Narain,48,3,5.0,0.10416666666666667
41,Zonta,Ricardo,38,5,3.0,0.07894736842105263
42,Pizzonia,Antônio,20,3,8.0,0.4
43,da Matta,Cristiano,28,2,13.0,0.4642857142857143
44,Panis,Olivier,158,10,76.0,0.4810126582278481
47,Baumgartner,Zsolt,20,2,1.0,0.05
48,Gené,Marc,36,4,5.0,0.1388888888888889
49,Frentzen,Heinz-Harald,159,10,174.0,1.0943396226415094
50,Verstappen,Jos,107,8,17.0,0.1588785046728972
55,Alesi,Jean,194,12,233.0,1.2010309278350515
56,Irvine,Eddie,147,10,191.0,1.2993197278911566
57,Häkkinen,Mika,165,11,420.0,2.5454545454545454
58,Marques,Tarso,26,3,0.0,0.0
59,Bernoldi,Enrique,29,2,0.0,0.0
60,Mazzacane,Gastón,21,2,0.0,0.0
63,Salo,Mika,111,8,33.0,0.2972972972972973
64,Diniz,Pedro,99,6,10.0,0.10101010101010101
65,Herbert,Johnny,157,11,93.0,0.5923566878980892
67,Buemi,Sébastien,55,3,29.0,0.5272727272727272
68,Takagi,Toranosuke,32,2,0.0,0.0
69,Badoer,Luca,58,5,0.0,0.0
70,Zanardi,Alessandro,44,5,1.0,0.022727272727272728
71,Hill,Damon,122,8,360.0,2.9508196721311477
73,Rosset,Ricardo,30,3,0.0,0.0
75,Nakano,Shinji,33,2,2.0,0.06060606060606061
76,Magnussen,Jan,25,3,1.0,0.04
77,Berger,Gerhard,127,8,267.0,2.1023622047244093
78,Larini,Nicola,41,5,7.0,0.17073170731707318
79,Katayama,Ukyo,97,6,5.0,0.05154639175257732
81,Morbidelli,Gianni,70,6,8.5,0.12142857142857143
83,Lamy,Pedro,32,4,1.0,0.03125
84,Brundle,Martin,91,6,84.0,0.9230769230769231
85,Montermini,Andrea,28,3,0.0,0.0
87,Blundell,Mark,63,4,32.0,0.5079365079365079
88,Suzuki,Aguri,71,6,8.0,0.11267605633802817
90,Moreno,Roberto,55,4,14.0,0.2545454545454545
91,Wendlinger,Karl,42,5,14.0,0.3333333333333333
92,Gachot,Bertrand,70,5,5.0,0.07142857142857142
94,Martini,Pierluigi,81,6,12.0,0.14814814814814814
95,Mansell,Nigel,54,5,230.0,4.2592592592592595
99,Tarquini,Gabriele,46,4,0.0,0.0
100,Comas,Érik,63,4,7.0,0.1111111111111111
101,Brabham,David,30,2,0.0,0.0
102,Senna,Ayrton,67,5,297.0,4.432835820895522
103,Bernard,Éric,45,3,10.0,0.2222222222222222
104,Fittipaldi,Christian,43,3,12.0,0.27906976744186046
105,Alboreto,Michele,78,5,7.0,0.08974358974358974
108,Belmondo,Paul,27,2,0.0,0.0
109,Järvilehto,Jyrki,66,5,10.0,0.15151515151515152
110,de Cesaris,Andrea,75,5,21.0,0.28
112,Alliot,Philippe,32,3,2.0,0.0625
117,Prost,Alain,47,3,206.0,4.382978723404255
118,Warwick,Derek,32,2,7.0,0.21875
119,Patrese,Riccardo,64,4,152.0,2.375
120,Barbazza,Fabrizio,20,2,2.0,0.1
122,Capelli,Ivan,46,4,10.0,0.21739130434782608
123,Boutsen,Thierry,58,4,36.0,0.6206896551724138
127,Gugelmin,Maurício,48,3,1.0,0.020833333333333332
128,van de Poele,Eric,29,2,0.0,0.0
129,Grouillard,Olivier,46,3,0.0,0.0
131,Modena,Stefano,48,3,13.0,0.2708333333333333
133,Caffi,Alex,26,2,2.0,0.07692307692307693
